index,t,AveExpr,lods,logFC,CI.L,CI.R,adj.P.Val,P.Value,GENE,EFFECTSIZE,P,SNP
STK10,0.788269453040204,5.266316212727026,-7.273822977706352,0.10639867247785162,-0.16032344265505405,0.3731207876107573,0.5101984556583032,0.43179412747218293,STK10,0.10639867247785162,0.43179412747218293,0
DMAP1,-0.7881377861181581,4.750129285894638,-7.2263180772625395,-0.09072815518052124,-0.3182051304717325,0.13674882011069003,0.5102536867742421,0.43187089121222844,DMAP1,-0.09072815518052124,0.43187089121222844,0
LMBR1,0.7875371834203816,5.84078546195558,-7.33304932791454,0.08944686604177576,-0.1349886456230691,0.31388237770662064,0.5106320241740406,0.4322211526617593,LMBR1,0.08944686604177576,0.4322211526617593,0
DSCR6,0.7873880623975006,0.8646151634410512,-6.594141569385705,0.3193691193685193,-0.48212734129499457,1.1208655800320333,0.5106992988317628,0.43230814329536993,DSCR6,0.3193691193685193,0.43230814329536993,0
FBXO31,-0.7869328597802652,4.768275743875661,-7.230418509692575,-0.08003953570814737,-0.2810248820574567,0.12094581064116192,0.5109775564011477,0.43257375178302726,FBXO31,-0.08003953570814737,0.43257375178302726,0
ETF1,0.7857277694673459,7.251678599934907,-7.378410899113136,0.06665518806161685,-0.10097775505823928,0.23428813118147299,0.5117724100390931,0.4332773766074113,ETF1,0.06665518806161685,0.4332773766074113,0
PPFIA3,-0.7856772931852707,3.0303105949630096,-6.935538041809409,-0.192484771648342,-0.6766010529711128,0.2916315096744289,0.5117724100390931,0.4333068631448249,PPFIA3,-0.192484771648342,0.4333068631448249,0
MCM3APAS,-0.7855546001587108,0.424297051780409,-6.539647627539911,-0.1606940906262475,-0.56491711247266,0.2435289312201649,0.5118156644110808,0.4333785411510497,MCM3APAS,-0.1606940906262475,0.4333785411510497,0
FASTKD3,-0.785511520926939,3.480571192263251,-7.017648482936331,-0.07942123564791004,-0.2792148459632082,0.12037237466738815,0.5118156644110808,0.4334037099410888,FASTKD3,-0.07942123564791004,0.4334037099410888,0
C20orf199,0.785163297554517,6.44454030747341,-7.367967038040555,0.12241940722263678,-0.18567782452430848,0.43051663896958203,0.5119943520496851,0.4336071887628351,C20orf199,0.12241940722263678,0.4336071887628351,0
HIPK2,0.7851494743790833,6.5529052727942325,-7.35968125999422,0.19126165180410482,-0.29010175500096375,0.6726250586091733,0.5119943520496851,0.4336152672680601,HIPK2,0.19126165180410482,0.4336152672680601,0
GCC1,0.7850719363125787,5.4002790011186885,-7.295915300102366,0.0628162039908382,-0.09529394556681992,0.22092635354849632,0.5120122907556912,0.43366058349820147,GCC1,0.0628162039908382,0.43366058349820147,0
TBCD,0.7848772781482356,6.557098232726007,-7.368388770494299,0.09721115466001962,-0.1475327357861468,0.341955045106186,0.5121110523615019,0.4337743614078098,TBCD,0.09721115466001962,0.4337743614078098,0
PRIMA1,-0.7845666894694786,1.075244514850475,-6.618098833956494,-0.33019771958550326,-1.1618498773259929,0.5014544381549864,0.5122898360761273,0.43395593691969647,PRIMA1,-0.33019771958550326,0.43395593691969647,0
TARS2,0.7842779398301751,5.489066810323106,-7.310043998091881,0.10137319164385161,-0.15404429968813255,0.35679068297583577,0.5124535708277548,0.43412478474724014,TARS2,0.10137319164385161,0.43412478474724014,0
SPATA2L,-0.7842163869308668,3.302843544584561,-6.988308044202677,-0.12857699400731626,-0.45256196858441516,0.19540798056978265,0.5124604743034029,0.43416078307754324,SPATA2L,-0.12857699400731626,0.43416078307754324,0
C8orf41,0.7830446802638992,4.004223866701306,-7.095396839482467,0.0949642678336371,-0.1446822898106378,0.334610825477912,0.5132340649544072,0.43484637108951096,C8orf41,0.0949642678336371,0.43484637108951096,0
RPL19P12,-0.7826473625866062,1.5768650874689616,-6.699367197352903,-0.15401259551590396,-0.5428675422716207,0.23484235123981279,0.5134729646012158,0.4350789925390781,RPL19P12,-0.15401259551590396,0.4350789925390781,0
PAK7,0.7823414141546793,-2.971807979901455,-6.228560566880876,0.38833117033641074,-0.5925207465796049,1.3691830872524262,0.5136487600741958,0.4352581685796695,PAK7,0.38833117033641074,0.4352581685796695,0
ANAPC4,-0.7815485837213411,4.493921349965709,-7.1955278086019065,-0.06236817706367148,-0.22005833359083363,0.09532197946349066,0.5141612358870737,0.4357226829274231,ANAPC4,-0.06236817706367148,0.4357226829274231,0
RTBDN,0.7812035466587248,-3.052672622201513,-6.211484398043763,0.4618336004924668,-0.7063707912512647,1.6300379922361983,0.5143641793328793,0.4359249281220289,RTBDN,0.4618336004924668,0.4359249281220289,0
CD3D,-0.7806796612667313,1.5877020551899155,-6.663482303294084,-0.31768986420672185,-1.121823092387129,0.4864433639736855,0.5146909055211223,0.4362321106628986,CD3D,-0.31768986420672185,0.4362321106628986,0
SRPX,-0.7804703984212942,3.5259570128799176,-7.031303935171638,-0.2101337180507734,-0.7421645773171052,0.32189714121555835,0.5147999828462511,0.4363548480829522,SRPX,-0.2101337180507734,0.4363548480829522,0
